ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2016-10-14, 16.7กษ, 23.5กษ, 10.5กษ, 0.0,  -
2016-10-15, 19.1กษ, 27.1กษ, 12.4กษ, 4.1,  -
2016-10-16, 17.2กษ, 19.5กษ, 15.4กษ, 9.4, 1.5mm
2016-10-17, 17.5กษ, 21.7กษ, 14.5กษ, 6.1,  -
2016-10-18, 17.0กษ, 24.0กษ, 11.2กษ, 3.0,  -
2016-10-19, 18.0กษ, 24.3กษ, 14.0กษ, 1.3,  -
2016-10-20, 18.6กษ, 25.8กษ, 12.9กษ, 1.6,  -
2016-10-21, 17.9กษ, 22.0กษ, 15.7กษ, 9.4,  -
2016-10-22, 18.3กษ, 22.8กษ, 14.5กษ, 6.8,  -
2016-10-23, 13.3กษ, 17.8กษ, 10.6กษ, 9.4, 2.5mm
2016-10-24, 15.1กษ, 20.6กษ, 9.0กษ, 5.6,  -
2016-10-25, 14.1กษ, 17.5กษ, 12.5กษ, 7.6, 37.0mm
2016-10-26, 13.3กษ, 16.3กษ, 10.5กษ, 5.4, 0.0mm
2016-10-27, 14.6กษ, 20.9กษ, 8.6กษ, 6.5,  -
2016-10-28, 14.6กษ, 18.4กษ, 10.2กษ, 8.8, 0.3mm
2016-10-29, 7.8กษ, 11.2กษ, 3.5กษ, 6.6,  -
2016-10-30, 7.9กษ, 15.1กษ, 1.6กษ, 0.9,  -
2016-10-31, 5.7กษ, 8.2กษ, 0.7กษ, 7.4, 0.5mm
2016-11-1, 1.5กษ, 6.6กษ, -2.4กษ, 0.0,  -
2016-11-2, 4.1กษ, 10.5กษ, -2.7กษ, 4.4, 0.1mm
2016-11-3, 9.1กษ, 14.1กษ, 4.2กษ, 4.9, 0.2mm
2016-11-4, 12.3กษ, 15.7กษ, 8.2กษ, 8.3, 0.0mm
2016-11-5, 15.0กษ, 18.1กษ, 12.2กษ, 7.3,  -
2016-11-6, 14.0กษ, 18.3กษ, 11.9กษ, 7.5,  -
2016-11-7, 12.8กษ, 17.8กษ, 8.5กษ, 9.0, 5.5mm
2016-11-8, 4.1กษ, 8.4กษ, 0.4กษ, 2.4, 0.5mm
2016-11-9, 2.1กษ, 8.6กษ, -3.2กษ, 1.4,  -
2016-11-10, 6.0กษ, 9.8กษ, 1.5กษ, 9.5, 0.4mm
2016-11-11, 9.1กษ, 14.2กษ, 6.2กษ, 2.0, 4.0mm
2016-11-12, 11.4กษ, 16.7กษ, 5.1กษ, 3.3,  -
2016-11-13, 14.4กษ, 18.1กษ, 12.1กษ, 7.3, 0.5mm
2016-11-14, 13.2กษ, 15.8กษ, 10.2กษ, 7.9, 1.5mm
2016-11-15, 5.2กษ, 10.2กษ, 2.5กษ, 0.0,  -
2016-11-16, 5.2กษ, 12.0กษ, 0.0กษ, 1.1,  -
2016-11-17, 9.1กษ, 16.5กษ, 4.0กษ, 2.0,  -
2016-11-18, 10.3กษ, 14.6กษ, 4.9กษ, 5.6, 0.0mm
2016-11-19, 13.0กษ, 18.6กษ, 9.9กษ, 8.9, 0.0mm
2016-11-20, 9.8กษ, 15.3กษ, 6.4กษ, 1.6,  -
2016-11-21, 9.5กษ, 14.6กษ, 5.1กษ, 7.8,  -
2016-11-22, 2.0กษ, 8.4กษ, -2.1กษ, 8.4, 0.2mm
